ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92111,7,2017,I,Y,0,0,0
92111,7,2017,R,N,17179,6718141,391
92112,7,2017,A,Y,0,0,0
92112,7,2017,C,Y,0,0,0
92112,7,2017,I,Y,0,0,0
92112,7,2017,R,Y,0,0,0
92113,7,2017,A,Y,0,0,0
92113,7,2017,C,N,880,6516246,7405
92113,7,2017,I,Y,0,0,0
92113,7,2017,R,N,13093,4768580,364
92114,7,2017,A,Y,0,0,0
92114,7,2017,C,Y,0,0,0
92114,7,2017,I,Y,0,0,0
92114,7,2017,R,N,17954,8423708,469
92115,7,2017,A,Y,0,0,0
92115,7,2017,C,Y,1957,12682634,6481
92115,7,2017,I,Y,0,0,0
92115,7,2017,R,Y,24410,10611784,435
92116,7,2017,A,Y,0,0,0
92116,7,2017,C,N,542,1730146,3192
92116,7,2017,I,Y,0,0,0
92116,7,2017,R,N,18598,6071450,326
92117,7,2017,A,Y,0,0,0
92117,7,2017,C,N,803,5509340,6861
92117,7,2017,I,Y,0,0,0
92117,7,2017,R,N,21609,8437404,390
92118,7,2017,A,Y,0,0,0
92118,7,2017,C,Y,593,4645478,7834
92118,7,2017,I,Y,0,0,0
92118,7,2017,R,Y,8438,4992976,592
92119,7,2017,A,Y,0,0,0
92119,7,2017,C,N,237,1636084,6903
92119,7,2017,I,Y,0,0,0
92119,7,2017,R,N,10510,5771680,549
92120,7,2017,A,Y,0,0,0
92120,7,2017,C,N,922,5443001,5903
92120,7,2017,I,Y,0,0,0
92120,7,2017,R,N,12244,7180000,586
92121,7,2017,A,Y,0,0,0
92121,7,2017,C,Y,3039,55319564,18203
92121,7,2017,I,Y,0,0,0
92121,7,2017,R,Y,2189,817009,373
92122,7,2017,A,Y,0,0,0
92122,7,2017,C,N,658,7980443,12128
92122,7,2017,I,Y,0,0,0
92122,7,2017,R,N,23754,8666613,365
92123,7,2017,A,Y,0,0,0
92123,7,2017,C,Y,1548,24448164,15793
92123,7,2017,I,Y,0,0,0
92123,7,2017,R,Y,11816,6012475,509
92124,7,2017,A,Y,0,0,0
